MRR,gMRR,Frage
1e-17,0.00011022927689594356,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
1e-17,0.0013717421124828531,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
1e-17,0.00019290123456790122,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.006172839506172839,Gibt es einen Grund für das Handeln?
1e-17,0.001763668430335097,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1e-17,0.0016,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1e-17,0.000257201646090535,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1e-17,1e-17,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,1e-17,"Autonomie, Dualismus von Natur und Freiheit"
1e-17,1e-17,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
1e-17,0.0008,"Wollen, Absicht, Handlung"
1e-17,1e-17,Der Wille in der Welt existiert.
1e-17,0.0013717421124828531,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.0007716049382716049,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,1e-17,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,1e-17,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
9.999999999999998e-18,0.0009007455785812307,
